{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
   -5   -4.9   5   0   200           1.0386          -0.011301        -9.4754e-05
 -4.9   -4.8   5   0   200           1.0339          -0.009763        -8.9151e-05
 -4.8   -4.7   5   0   200           1.0318         -0.0079345          -7.52e-05
 -4.7   -4.6   5   0   200           1.0309         -0.0066084        -6.6214e-05
 -4.6   -4.5   5   0   200           1.0259         -0.0035156        -4.7475e-05
 -4.5   -4.4   5   0   200           1.0404         -0.0032853        -4.3214e-05
 -4.4   -4.3   5   0   200           1.0568         -0.0032195         -3.436e-05
 -4.3   -4.2   5   0   200           1.0673         -0.0030553        -2.9193e-05
 -4.2   -4.1   5   0   200           1.0879         -0.0034231        -2.0925e-05
 -4.1     -4   5   0   200           1.1084         -0.0030405        -1.9261e-05
   -4   -3.9   5   0   200           1.1236         -0.0029574        -1.5221e-05
 -3.9   -3.8   5   0   200           1.1527         -0.0027394        -1.0678e-05
 -3.8   -3.7   5   0   200           1.1756         -0.0025084        -9.4055e-06
 -3.7   -3.6   5   0   200           1.1927          -0.002265        -3.6567e-06
 -3.6   -3.5   5   0   200           1.2072         -0.0020447         4.6064e-06
 -3.5   -3.4   5   0   200           1.2266         -0.0020278         1.5005e-05
 -3.4   -3.3   5   0   200           1.2354          0.0012112        -4.4067e-05
 -3.3   -3.2   5   0   200           1.2345          0.0023534        -8.3342e-05
 -3.2   -3.1   5   0   200           1.2098          0.0025573        -9.4308e-05
 -3.1     -3   5   0   200           1.1852           0.003261        -0.00011615
   -3   -2.9   5   0   200           1.1558          0.0040279        -0.00012992
 -2.9   -2.8   5   0   200           1.1261          0.0050028        -0.00014314
 -2.8   -2.7   5   0   200           1.0999          0.0056539        -0.00015139
 -2.7   -2.6   5   0   200           1.0727           0.006126        -0.00014626
 -2.6   -2.5   5   0   200           1.0412          0.0060104        -0.00013291
 -2.5   -2.4   5   0   200           1.0163          0.0050332        -7.9129e-05
 -2.4   -2.3   5   0   200          0.99714         0.00038832         1.6638e-05
 -2.3   -2.2   5   0   200          0.99801         0.00072756           9.59e-05
 -2.2   -2.1   5   0   200           1.0056         0.00078892         0.00012076
 -2.1     -2   5   0   200           1.0114         0.00021128         0.00014978
   -2   -1.9   5   0   200           1.0204        -0.00026563         0.00015302
 -1.9   -1.8   5   0   200           1.0262        -0.00051764         0.00013907
 -1.8   -1.7   5   0   200           1.0353        -0.00080624         0.00014492
 -1.7   -1.6   5   0   200           1.0386         -0.0008372         0.00014111
 -1.6   -1.5   5   0   200           1.0389        -0.00064191         0.00013608
 -1.5   -1.4   5   0   200           1.0391        -0.00053814         0.00013674
 -1.4   -1.3   5   0   200           1.0391        -0.00053804         0.00014328
 -1.3   -1.2   5   0   200            1.039        -0.00041595         0.00014157
 -1.2   -1.1   5   0   200           1.0375        -0.00029851         0.00014324
 -1.1     -1   5   0   200           1.0362         -0.0001559         0.00014087
   -1   -0.9   5   0   200           1.0342        -8.9947e-05         0.00014031
 -0.9   -0.8   5   0   200           1.0316          3.941e-05         0.00013284
 -0.8   -0.7   5   0   200           1.0336        -3.9048e-05         0.00012823
 -0.7   -0.6   5   0   200           1.0414        -0.00062572         0.00013452
 -0.6   -0.5   5   0   200           1.0506         -0.0012411         0.00014148
 -0.5   -0.4   5   0   200           1.0604         -0.0017186         0.00014168
 -0.4   -0.3   5   0   200           1.0693         -0.0022364         0.00014624
 -0.3   -0.2   5   0   200           1.0751         -0.0025249         0.00014755
 -0.2   -0.1   5   0   200           1.0785          -0.002787         0.00015073
 -0.1      0   5   0   200           1.0778         -0.0028505         0.00015294
    0    0.1   5   0   200           1.0747         -0.0026893         0.00014574
  0.1    0.2   5   0   200           1.0692         -0.0024866         0.00014437
  0.2    0.3   5   0   200           1.0604         -0.0020862         0.00013656
  0.3    0.4   5   0   200           1.0478         -0.0014391         0.00012784
  0.4    0.5   5   0   200           1.0355        -0.00080138         0.00011986
  0.5    0.6   5   0   200           1.0257        -0.00034101         0.00012257
  0.6    0.7   5   0   200           1.0195         3.7322e-05         0.00012147
  0.7    0.8   5   0   200            1.015         0.00017062         0.00013222
  0.8    0.9   5   0   200           1.0109         0.00042782         0.00013233
  0.9      1   5   0   200           1.0123         0.00052831         0.00013262
    1    1.1   5   0   200           1.0159         0.00042625         0.00013877
  1.1    1.2   5   0   200           1.0214         9.1081e-05         0.00014813
  1.2    1.3   5   0   200           1.0267        -0.00016269         0.00015291
  1.3    1.4   5   0   200           1.0327        -0.00043217         0.00015273
  1.4    1.5   5   0   200             1.04        -0.00086897         0.00015959
  1.5    1.6   5   0   200            1.045         -0.0011125         0.00015987
  1.6    1.7   5   0   200           1.0471         -0.0012511         0.00016082
  1.7    1.8   5   0   200           1.0454           -0.00119         0.00015652
  1.8    1.9   5   0   200           1.0383         -0.0011611         0.00016149
  1.9      2   5   0   200           1.0284        -0.00061993         0.00015257
    2    2.1   5   0   200           1.0153         0.00013191         0.00013436
  2.1    2.2   5   0   200           1.0047         0.00090073         0.00011501
  2.2    2.3   5   0   200          0.99109          0.0012455         9.1343e-05
  2.3    2.4   5   0   200          0.97417           0.001834         1.8233e-05
  2.4    2.5   5   0   200           0.9753          0.0053233        -8.8626e-05
  2.5    2.6   5   0   200          0.99192          0.0060146        -0.00012144
  2.6    2.7   5   0   200           1.0169           0.005963        -0.00013056
  2.7    2.8   5   0   200           1.0365          0.0055749        -0.00013383
  2.8    2.9   5   0   200           1.0649          0.0047927        -0.00012243
  2.9      3   5   0   200           1.0926           0.003903        -0.00011192
    3    3.1   5   0   200           1.1277          0.0028405        -9.4491e-05
  3.1    3.2   5   0   200           1.1548          0.0019741        -7.7094e-05
  3.2    3.3   5   0   200           1.1904          0.0011094        -4.9185e-05
  3.3    3.4   5   0   200            1.204         0.00045021        -2.6669e-05
  3.4    3.5   5   0   200            1.207         -0.0019291         7.0022e-06
  3.5    3.6   5   0   200           1.1952         -0.0020126         4.3359e-07
  3.6    3.7   5   0   200           1.1847         -0.0021443        -1.1661e-05
  3.7    3.8   5   0   200           1.1784          -0.002402        -1.4341e-05
  3.8    3.9   5   0   200           1.1576         -0.0025931        -2.0486e-05
  3.9      4   5   0   200           1.1329         -0.0028329        -2.6015e-05
    4    4.1   5   0   200           1.1183         -0.0029255        -2.6915e-05
  4.1    4.2   5   0   200           1.1005          -0.003314        -2.6566e-05
  4.2    4.3   5   0   200           1.0869         -0.0031497        -2.7396e-05
  4.3    4.4   5   0   200           1.0776         -0.0032508        -3.7283e-05
  4.4    4.5   5   0   200           1.0722         -0.0036299        -3.8273e-05
  4.5    4.6   5   0   200           1.0537         -0.0037949         -4.457e-05
  4.6    4.7   5   0   200           1.0562         -0.0071822        -6.3053e-05
  4.7    4.8   5   0   200           1.0623         -0.0086816        -7.3786e-05
  4.8    4.9   5   0   200           1.0698          -0.010648        -9.3222e-05
  4.9      5   5   0   200           1.0874           -0.01258        -9.7132e-05
